Altium Designer Pick and Place Locations
C:\Users\nitis\OneDrive - UCB-O365\Sem3\PCB Design\Board projects\PCB_Project_Golden_Arduino\Project Outputs for PCB_Project_Golden_Arduino\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       09/11/20
Time:       23:59
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"D1","IP4234CZ6,125","TopLayer","TVS","2204.232","3122.598","0","Clamp Ipp Tvs Diode Surface Mount 6-TSOP"
"C3","22pF","TopLayer","0402_Passive","2390.315","1190.000","0","MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 22PF 50V 0402 ROHS"
"C1","22pF","TopLayer","0402_Passive","2390.315","1010.000","0","MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 22PF 50V 0402 ROHS"
"J5","NRPN032PAEN-RC","TopLayer","ICSP","1800.000","545.000","270","Connector Header Through Hole 6 position 0.079" (2.00mm)"
"XTAL1","ABLS-16.000MHZ-B4-T","TopLayer","Crystal","2240.000","1067.008","270","16MHz ±30ppm Crystal 18pF 40 Ohms HC-49/US. Use for ECEN 4/5730 Arduino"
"U2","FT232RL-REEL","TopLayer","FTDI","1900.000","2800.000","0","USB Bridge, USB to UART USB 2.0 UART Interface 28-SSOP"
"U1","ATMEGA328P-ANR","TopLayer","ATMega328P","1831.929","1160.000","360","AVR AVR® ATmega Microcontroller IC 8-Bit 20MHz 32KB (16K x 16) FLASH 32-TQFP (7x7)"
"TP1","10x Probe TP","TopLayer","TP10x_Probe","3500.000","3000.000","360","Test Point 300 mil centers"
"SW2","PREC003SAAN-RC","TopLayer","3_PIN_100mil","1500.000","3300.000","360","Connector Header Through Hole 3 position 0.100" (2.54mm)"
"SW1","TL3305AF160QG","TopLayer","Switch_JLC","1231.417","2642.520","270","Tactile Switch SPST-NO Top Actuated Surface Mount"
"R10","1k","TopLayer","0402_Passive","2260.315","1870.000","360","1 kOhms chip resistor SURFACE MOUNT 1KOHMS ±1% 1/16W 0402 ROHS"
"R9","1k","TopLayer","0402_Passive","3000.000","3419.685","90","1 kOhms chip resistor SURFACE MOUNT 1KOHMS ±1% 1/16W 0402 ROHS"
"R8","1k","TopLayer","0402_Passive","1140.315","2200.000","0","1 kOhms chip resistor SURFACE MOUNT 1KOHMS ±1% 1/16W 0402 ROHS"
